[2026-05-17 10:31:42] URI: /school1/lekhak/admin/landing, VIEW: landing/list, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/landing/list.blade.php, IS_ADMIN: YES
[2026-05-17 10:34:26] URI: /school1/lekhak/admin/landing, VIEW: landing/list, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/landing/list.blade.php, IS_ADMIN: YES
[2026-05-17 10:37:22] URI: /school1/lekhak/admin/landing, VIEW: landing/list, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/landing/list.blade.php, IS_ADMIN: YES
[2026-05-17 10:51:16] URI: /school1/lekhak/admin/, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-17 11:08:02] URI: /school1/lekhak/admin/, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-17 11:09:45] URI: /school1/lekhak/admin/, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-17 11:15:06] URI: /school1/lekhak/admin/landing, VIEW: landing/list, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/landing/list.blade.php, IS_ADMIN: YES
[2026-05-17 11:24:34] URI: /school1/lekhak/admin/landing, VIEW: landing/list, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/landing/list.blade.php, IS_ADMIN: YES
[2026-05-17 11:26:06] URI: /school1/lekhak/admin/, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-17 11:28:53] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-17 15:34:11] URI: /school1/lekhak/admin/login, VIEW: login, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/login.blade.php, IS_ADMIN: NO
[2026-05-17 15:34:30] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-17 15:45:32] URI: /school1/, VIEW: index, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/index.blade.php, IS_ADMIN: NO
[2026-05-17 15:45:53] URI: /school1/index.php, VIEW: index, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/index.blade.php, IS_ADMIN: NO
[2026-05-17 15:46:32] URI: /school1/, VIEW: index, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/index.blade.php, IS_ADMIN: NO
[2026-05-17 15:47:02] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-17 15:47:55] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-17 15:48:31] URI: /school1/lekhak/admin/settings, VIEW: placeholder, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/placeholder.blade.php, IS_ADMIN: YES
[2026-05-17 15:48:58] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-17 15:49:48] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-17 15:50:26] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-17 15:51:01] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-17 16:25:04] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-17 16:33:33] URI: /school1/, VIEW: index, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/index.blade.php, IS_ADMIN: NO
[2026-05-17 16:33:48] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-17 16:34:30] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-17 16:35:05] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-17 16:35:28] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-17 16:40:19] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-17 23:42:27] URI: /school1/lekhak/admin/login, VIEW: login, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/login.blade.php, IS_ADMIN: NO
[2026-05-17 23:43:26] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-18 00:02:37] URI: /school1/lekhak/admin/, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-18 10:09:52] URI: /school1/lekhak/admin/login, VIEW: login, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/login.blade.php, IS_ADMIN: NO
[2026-05-18 10:10:44] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-18 10:11:14] URI: /school1/lekhak/admin/structure/types, VIEW: content-types, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/content-types.blade.php, IS_ADMIN: YES
[2026-05-18 10:12:41] URI: /school1/lekhak/admin/structure/types, VIEW: content-types, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/content-types.blade.php, IS_ADMIN: YES
[2026-05-18 10:17:47] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
